Этап;Параметр;Наименование;Измерено;Единица;Нижняя граница;Верхняя граница;Результат;Атрибуты
"yalk_overload";"ubsi.yalk.overload.-12 В.57.55";"ЯЛК: -12 В на 57, наблюдение 55";725.5;"код";719.75;729.75;"НОРМА";"baseline_code=724.750000; current_code=725.500000; delta_code=0.750000; impact_count=160; impact_index=133; lower_delta_code=-5.000000; observed_channel=55; polarity=-12 В; stressed_channel=57; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.57.56";"ЯЛК: -12 В на 57, наблюдение 56";713.75;"код";708.75;718.75;"НОРМА";"baseline_code=713.750000; current_code=713.750000; delta_code=0.000000; impact_count=160; impact_index=133; lower_delta_code=-5.000000; observed_channel=56; polarity=-12 В; stressed_channel=57; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.57.58";"ЯЛК: -12 В на 57, наблюдение 58";726;"код";720.75;730.75;"НОРМА";"baseline_code=725.750000; current_code=726.000000; delta_code=0.250000; impact_count=160; impact_index=133; lower_delta_code=-5.000000; observed_channel=58; polarity=-12 В; stressed_channel=57; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.57.59";"ЯЛК: -12 В на 57, наблюдение 59";735.25;"код";730.5;740.5;"НОРМА";"baseline_code=735.500000; current_code=735.250000; delta_code=-0.250000; impact_count=160; impact_index=133; lower_delta_code=-5.000000; observed_channel=59; polarity=-12 В; stressed_channel=57; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.57.60";"ЯЛК: -12 В на 57, наблюдение 60";741;"код";736;746;"НОРМА";"baseline_code=741.000000; current_code=741.000000; delta_code=0.000000; impact_count=160; impact_index=133; lower_delta_code=-5.000000; observed_channel=60; polarity=-12 В; stressed_channel=57; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.57.61";"ЯЛК: -12 В на 57, наблюдение 61";751;"код";745.25;755.25;"НОРМА";"baseline_code=750.250000; current_code=751.000000; delta_code=0.750000; impact_count=160; impact_index=133; lower_delta_code=-5.000000; observed_channel=61; polarity=-12 В; stressed_channel=57; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.57.62";"ЯЛК: -12 В на 57, наблюдение 62";756.25;"код";751;761;"НОРМА";"baseline_code=756.000000; current_code=756.250000; delta_code=0.250000; impact_count=160; impact_index=133; lower_delta_code=-5.000000; observed_channel=62; polarity=-12 В; stressed_channel=57; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.57.63";"ЯЛК: -12 В на 57, наблюдение 63";772;"код";767.75;777.75;"НОРМА";"baseline_code=772.750000; current_code=772.000000; delta_code=-0.750000; impact_count=160; impact_index=133; lower_delta_code=-5.000000; observed_channel=63; polarity=-12 В; stressed_channel=57; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.57.64";"ЯЛК: -12 В на 57, наблюдение 64";759.25;"код";753.75;763.75;"НОРМА";"baseline_code=758.750000; current_code=759.250000; delta_code=0.500000; impact_count=160; impact_index=133; lower_delta_code=-5.000000; observed_channel=64; polarity=-12 В; stressed_channel=57; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.57.65";"ЯЛК: -12 В на 57, наблюдение 65";775.25;"код";770;780;"НОРМА";"baseline_code=775.000000; current_code=775.250000; delta_code=0.250000; impact_count=160; impact_index=133; lower_delta_code=-5.000000; observed_channel=65; polarity=-12 В; stressed_channel=57; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.57.66";"ЯЛК: -12 В на 57, наблюдение 66";778.25;"код";773.25;783.25;"НОРМА";"baseline_code=778.250000; current_code=778.250000; delta_code=0.000000; impact_count=160; impact_index=133; lower_delta_code=-5.000000; observed_channel=66; polarity=-12 В; stressed_channel=57; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.57.67";"ЯЛК: -12 В на 57, наблюдение 67";790;"код";784.25;794.25;"НОРМА";"baseline_code=789.250000; current_code=790.000000; delta_code=0.750000; impact_count=160; impact_index=133; lower_delta_code=-5.000000; observed_channel=67; polarity=-12 В; stressed_channel=57; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.57.68";"ЯЛК: -12 В на 57, наблюдение 68";786.75;"код";781.5;791.5;"НОРМА";"baseline_code=786.500000; current_code=786.750000; delta_code=0.250000; impact_count=160; impact_index=133; lower_delta_code=-5.000000; observed_channel=68; polarity=-12 В; stressed_channel=57; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.57.69";"ЯЛК: -12 В на 57, наблюдение 69";796.75;"код";792.75;802.75;"НОРМА";"baseline_code=797.750000; current_code=796.750000; delta_code=-1.000000; impact_count=160; impact_index=133; lower_delta_code=-5.000000; observed_channel=69; polarity=-12 В; stressed_channel=57; upper_delta_code=5.000000"
