Этап;Параметр;Наименование;Измерено;Единица;Нижняя граница;Верхняя граница;Результат;Атрибуты
"yalk_initial";"ubsi.yalk.initial.33";"ЯЛК адрес 33: обрыв";-0.969493;"В";-6.2;-1e-12;"OK";"analog_code=0.000000; raw=1024.000000; signal=1; ulk_address=33; yalk_v=-0.969493"
"yalk_initial";"ubsi.yalk.initial.signal.33";"ЯЛК адрес 33: исходный сигнал";1;"лог.";1;1;"OK";""
"yalk_initial";"ubsi.yalk.initial.34";"ЯЛК адрес 34: обрыв";-0.969493;"В";-6.2;-1e-12;"OK";"analog_code=0.000000; raw=1024.000000; signal=1; ulk_address=34; yalk_v=-0.969493"
"yalk_initial";"ubsi.yalk.initial.signal.34";"ЯЛК адрес 34: исходный сигнал";1;"лог.";1;1;"OK";""
"yalk_initial";"ubsi.yalk.initial.35";"ЯЛК адрес 35: обрыв";-0.969493;"В";-6.2;-1e-12;"OK";"analog_code=0.000000; raw=1024.000000; signal=1; ulk_address=35; yalk_v=-0.969493"
"yalk_initial";"ubsi.yalk.initial.signal.35";"ЯЛК адрес 35: исходный сигнал";1;"лог.";1;1;"OK";""
"yalk_initial";"ubsi.yalk.initial.36";"ЯЛК адрес 36: обрыв";-0.969493;"В";-6.2;-1e-12;"OK";"analog_code=0.000000; raw=1024.000000; signal=1; ulk_address=36; yalk_v=-0.969493"
"yalk_initial";"ubsi.yalk.initial.signal.36";"ЯЛК адрес 36: исходный сигнал";1;"лог.";1;1;"OK";""
"yalk_initial";"ubsi.yalk.initial.37";"ЯЛК адрес 37: обрыв";-0.969493;"В";-6.2;-1e-12;"OK";"analog_code=0.000000; raw=1024.000000; signal=1; ulk_address=37; yalk_v=-0.969493"
"yalk_initial";"ubsi.yalk.initial.signal.37";"ЯЛК адрес 37: исходный сигнал";1;"лог.";1;1;"OK";""
"yalk_initial";"ubsi.yalk.initial.38";"ЯЛК адрес 38: обрыв";-0.969493;"В";-6.2;-1e-12;"OK";"analog_code=0.000000; raw=1024.000000; signal=1; ulk_address=38; yalk_v=-0.969493"
"yalk_initial";"ubsi.yalk.initial.signal.38";"ЯЛК адрес 38: исходный сигнал";1;"лог.";1;1;"OK";""
"yalk_initial";"ubsi.yalk.initial.39";"ЯЛК адрес 39: обрыв";-0.969493;"В";-6.2;-1e-12;"OK";"analog_code=0.000000; raw=1024.000000; signal=1; ulk_address=39; yalk_v=-0.969493"
"yalk_initial";"ubsi.yalk.initial.signal.39";"ЯЛК адрес 39: исходный сигнал";1;"лог.";1;1;"OK";""
"yalk_initial";"ubsi.yalk.initial.40";"ЯЛК адрес 40: обрыв";-0.969493;"В";-6.2;-1e-12;"OK";"analog_code=0.000000; raw=1024.000000; signal=1; ulk_address=40; yalk_v=-0.969493"
"yalk_initial";"ubsi.yalk.initial.signal.40";"ЯЛК адрес 40: исходный сигнал";1;"лог.";1;1;"OK";""
"yalk_initial";"ubsi.yalk.initial.41";"ЯЛК адрес 41: обрыв";-0.969493;"В";-6.2;-1e-12;"OK";"analog_code=0.000000; raw=1024.000000; signal=1; ulk_address=41; yalk_v=-0.969493"
"yalk_initial";"ubsi.yalk.initial.signal.41";"ЯЛК адрес 41: исходный сигнал";1;"лог.";1;1;"OK";""
"yalk_initial";"ubsi.yalk.initial.42";"ЯЛК адрес 42: обрыв";-0.969493;"В";-6.2;-1e-12;"OK";"analog_code=0.000000; raw=1024.000000; signal=1; ulk_address=42; yalk_v=-0.969493"
"yalk_initial";"ubsi.yalk.initial.signal.42";"ЯЛК адрес 42: исходный сигнал";1;"лог.";1;1;"OK";""
"yalk_initial";"ubsi.yalk.initial.43";"ЯЛК адрес 43: обрыв";-0.969493;"В";-6.2;-1e-12;"OK";"analog_code=0.000000; raw=1024.000000; signal=1; ulk_address=43; yalk_v=-0.969493"
