Этап;Параметр;Наименование;Измерено;Единица;Нижняя граница;Верхняя граница;Результат;Атрибуты
"yalk_overload";"ubsi.yalk.overload.-12 В.34.25";"ЯЛК: -12 В на 34, наблюдение 25";521.5;"код";517.25;527.25;"НОРМА";"baseline_code=522.250000; current_code=521.500000; delta_code=-0.750000; impact_count=160; impact_index=111; lower_delta_code=-5.000000; observed_channel=25; polarity=-12 В; stressed_channel=34; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.34.26";"ЯЛК: -12 В на 34, наблюдение 26";524.25;"код";519.75;529.75;"НОРМА";"baseline_code=524.750000; current_code=524.250000; delta_code=-0.500000; impact_count=160; impact_index=111; lower_delta_code=-5.000000; observed_channel=26; polarity=-12 В; stressed_channel=34; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.34.27";"ЯЛК: -12 В на 34, наблюдение 27";534.25;"код";528.5;538.5;"НОРМА";"baseline_code=533.500000; current_code=534.250000; delta_code=0.750000; impact_count=160; impact_index=111; lower_delta_code=-5.000000; observed_channel=27; polarity=-12 В; stressed_channel=34; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.34.28";"ЯЛК: -12 В на 34, наблюдение 28";545;"код";540.25;550.25;"НОРМА";"baseline_code=545.250000; current_code=545.000000; delta_code=-0.250000; impact_count=160; impact_index=111; lower_delta_code=-5.000000; observed_channel=28; polarity=-12 В; stressed_channel=34; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.34.32";"ЯЛК: -12 В на 34, наблюдение 32";562;"код";556.5;566.5;"НОРМА";"baseline_code=561.500000; current_code=562.000000; delta_code=0.500000; impact_count=160; impact_index=111; lower_delta_code=-5.000000; observed_channel=32; polarity=-12 В; stressed_channel=34; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.34.33";"ЯЛК: -12 В на 34, наблюдение 33";575.5;"код";570.5;580.5;"НОРМА";"baseline_code=575.500000; current_code=575.500000; delta_code=0.000000; impact_count=160; impact_index=111; lower_delta_code=-5.000000; observed_channel=33; polarity=-12 В; stressed_channel=34; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.34.35";"ЯЛК: -12 В на 34, наблюдение 35";581;"код";576;586;"НОРМА";"baseline_code=581.000000; current_code=581.000000; delta_code=0.000000; impact_count=160; impact_index=111; lower_delta_code=-5.000000; observed_channel=35; polarity=-12 В; stressed_channel=34; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.34.36";"ЯЛК: -12 В на 34, наблюдение 36";578.75;"код";573.75;583.75;"НОРМА";"baseline_code=578.750000; current_code=578.750000; delta_code=0.000000; impact_count=160; impact_index=111; lower_delta_code=-5.000000; observed_channel=36; polarity=-12 В; stressed_channel=34; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.34.37";"ЯЛК: -12 В на 34, наблюдение 37";601;"код";595.75;605.75;"НОРМА";"baseline_code=600.750000; current_code=601.000000; delta_code=0.250000; impact_count=160; impact_index=111; lower_delta_code=-5.000000; observed_channel=37; polarity=-12 В; stressed_channel=34; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.34.38";"ЯЛК: -12 В на 34, наблюдение 38";602.25;"код";600.25;610.25;"НОРМА";"baseline_code=605.250000; current_code=602.250000; delta_code=-3.000000; impact_count=160; impact_index=111; lower_delta_code=-5.000000; observed_channel=38; polarity=-12 В; stressed_channel=34; upper_delta_code=5.000000"
