Этап;Пункт ТУ;Параметр;Адрес УЛК;Код ИСД;Raw;Код ЯЛК;Сигнал;В7, В;ЯЛК, В;Абсолютная погрешность, В;Приведённая погрешность, %;Относительная погрешность, %;Нижний допуск;Верхний допуск;Итог;Сообщение
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 57: исходное напряжение";"57";"";"1024.000000";"0.000000";"1";"";"";"";"";"";-0.031;0.031;"НЕ ОК";"Значение вне допуска"
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 57: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"ОК";""
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 58: исходное напряжение";"58";"";"1024.000000";"0.000000";"1";"";"";"";"";"";-0.031;0.031;"НЕ ОК";"Значение вне допуска"
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 58: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"ОК";""
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 59: исходное напряжение";"59";"";"1024.000000";"0.000000";"1";"";"";"";"";"";-0.031;0.031;"НЕ ОК";"Значение вне допуска"
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 59: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"ОК";""
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 60: исходное напряжение";"60";"";"1024.000000";"0.000000";"1";"";"";"";"";"";-0.031;0.031;"НЕ ОК";"Значение вне допуска"
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 60: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"ОК";""
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 61: исходное напряжение";"61";"";"1024.000000";"0.000000";"1";"";"";"";"";"";-0.031;0.031;"НЕ ОК";"Значение вне допуска"
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 61: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"ОК";""
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 62: исходное напряжение";"62";"";"1024.000000";"0.000000";"1";"";"";"";"";"";-0.031;0.031;"НЕ ОК";"Значение вне допуска"
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 62: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"ОК";""
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 63: исходное напряжение";"63";"";"1024.000000";"0.000000";"1";"";"";"";"";"";-0.031;0.031;"НЕ ОК";"Значение вне допуска"
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 63: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"ОК";""
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 64: исходное напряжение";"64";"";"1024.000000";"0.000000";"1";"";"";"";"";"";-0.031;0.031;"НЕ ОК";"Значение вне допуска"
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 64: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"ОК";""
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 65: исходное напряжение";"65";"";"1024.000000";"0.000000";"1";"";"";"";"";"";-0.031;0.031;"НЕ ОК";"Значение вне допуска"
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 65: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"ОК";""
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 66: исходное напряжение";"66";"";"1024.000000";"0.000000";"1";"";"";"";"";"";-0.031;0.031;"НЕ ОК";"Значение вне допуска"
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 66: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"ОК";""
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 67: исходное напряжение";"67";"";"1024.000000";"0.000000";"1";"";"";"";"";"";-0.031;0.031;"НЕ ОК";"Значение вне допуска"
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 67: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"ОК";""
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 68: исходное напряжение";"68";"";"1024.000000";"0.000000";"1";"";"";"";"";"";-0.031;0.031;"НЕ ОК";"Значение вне допуска"
