Этап;Пункт ТУ;Параметр;Адрес УЛК;Код ИСД;Raw;Код ЯЛК;Сигнал;В7, В;ЯЛК, В;Абсолютная погрешность, В;Приведённая погрешность, %;Относительная погрешность, %;Нижний допуск;Верхний допуск;Итог;Сообщение
"Обрыв и исходное отключённое состояние 80 входов ЯЛК";"1.1.4.10";"ЯЛК адрес 26: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"НОРМА";""
"Обрыв и исходное отключённое состояние 80 входов ЯЛК";"1.1.4.10";"ЯЛК адрес 27: обрыв, аналоговый вход";"27";"";"1024.000000";"0.000000";"1";"";"-0.971178";"";"";"";-6.2;0;"НОРМА";""
"Обрыв и исходное отключённое состояние 80 входов ЯЛК";"1.1.4.10";"ЯЛК адрес 27: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"НОРМА";""
"Обрыв и исходное отключённое состояние 80 входов ЯЛК";"1.1.4.10";"ЯЛК адрес 28: обрыв, аналоговый вход";"28";"";"1024.000000";"0.000000";"1";"";"-0.971178";"";"";"";-6.2;0;"НОРМА";""
"Обрыв и исходное отключённое состояние 80 входов ЯЛК";"1.1.4.10";"ЯЛК адрес 28: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"НОРМА";""
"Обрыв и исходное отключённое состояние 80 входов ЯЛК";"1.1.4.10";"ЯЛК адрес 32: обрыв, аналоговый вход";"32";"";"1024.000000";"0.000000";"1";"";"-0.971178";"";"";"";-6.2;0;"НОРМА";""
"Обрыв и исходное отключённое состояние 80 входов ЯЛК";"1.1.4.10";"ЯЛК адрес 32: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"НОРМА";""
"Обрыв и исходное отключённое состояние 80 входов ЯЛК";"1.1.4.10";"ЯЛК адрес 33: обрыв, аналоговый вход";"33";"";"1024.000000";"0.000000";"1";"";"-0.971178";"";"";"";-6.2;0;"НОРМА";""
"Обрыв и исходное отключённое состояние 80 входов ЯЛК";"1.1.4.10";"ЯЛК адрес 33: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"НОРМА";""
"Обрыв и исходное отключённое состояние 80 входов ЯЛК";"1.1.4.10";"ЯЛК адрес 34: обрыв, аналоговый вход";"34";"";"1024.000000";"0.000000";"1";"";"-0.971178";"";"";"";-6.2;0;"НОРМА";""
"Обрыв и исходное отключённое состояние 80 входов ЯЛК";"1.1.4.10";"ЯЛК адрес 34: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"НОРМА";""
"Обрыв и исходное отключённое состояние 80 входов ЯЛК";"1.1.4.10";"ЯЛК адрес 35: обрыв, аналоговый вход";"35";"";"1024.000000";"0.000000";"1";"";"-0.971178";"";"";"";-6.2;0;"НОРМА";""
"Обрыв и исходное отключённое состояние 80 входов ЯЛК";"1.1.4.10";"ЯЛК адрес 35: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"НОРМА";""
"Обрыв и исходное отключённое состояние 80 входов ЯЛК";"1.1.4.10";"ЯЛК адрес 36: обрыв, аналоговый вход";"36";"";"1024.000000";"0.000000";"1";"";"-0.971178";"";"";"";-6.2;0;"НОРМА";""
"Обрыв и исходное отключённое состояние 80 входов ЯЛК";"1.1.4.10";"ЯЛК адрес 36: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"НОРМА";""
"Обрыв и исходное отключённое состояние 80 входов ЯЛК";"1.1.4.10";"ЯЛК адрес 37: обрыв, аналоговый вход";"37";"";"1024.000000";"0.000000";"1";"";"-0.971178";"";"";"";-6.2;0;"НОРМА";""
"Обрыв и исходное отключённое состояние 80 входов ЯЛК";"1.1.4.10";"ЯЛК адрес 37: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"НОРМА";""
"Обрыв и исходное отключённое состояние 80 входов ЯЛК";"1.1.4.10";"ЯЛК адрес 38: обрыв, аналоговый вход";"38";"";"1024.000000";"0.000000";"1";"";"-0.971178";"";"";"";-6.2;0;"НОРМА";""
"Обрыв и исходное отключённое состояние 80 входов ЯЛК";"1.1.4.10";"ЯЛК адрес 38: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"НОРМА";""
"Обрыв и исходное отключённое состояние 80 входов ЯЛК";"1.1.4.10";"ЯЛК адрес 39: обрыв, аналоговый вход";"39";"";"1024.000000";"0.000000";"1";"";"-0.971178";"";"";"";-6.2;0;"НОРМА";""
"Обрыв и исходное отключённое состояние 80 входов ЯЛК";"1.1.4.10";"ЯЛК адрес 39: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"НОРМА";""
"Обрыв и исходное отключённое состояние 80 входов ЯЛК";"1.1.4.10";"ЯЛК адрес 40: обрыв, аналоговый вход";"40";"";"1024.000000";"0.000000";"1";"";"-0.971178";"";"";"";-6.2;0;"НОРМА";""
"Обрыв и исходное отключённое состояние 80 входов ЯЛК";"1.1.4.10";"ЯЛК адрес 40: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"НОРМА";""
"Обрыв и исходное отключённое состояние 80 входов ЯЛК";"1.1.4.10";"ЯЛК адрес 41: обрыв, аналоговый вход";"41";"";"1024.000000";"0.000000";"1";"";"-0.971178";"";"";"";-6.2;0;"НОРМА";""
"Обрыв и исходное отключённое состояние 80 входов ЯЛК";"1.1.4.10";"ЯЛК адрес 41: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"НОРМА";""
"Обрыв и исходное отключённое состояние 80 входов ЯЛК";"1.1.4.10";"ЯЛК адрес 42: обрыв, аналоговый вход";"42";"";"1024.000000";"0.000000";"1";"";"-0.971178";"";"";"";-6.2;0;"НОРМА";""
"Обрыв и исходное отключённое состояние 80 входов ЯЛК";"1.1.4.10";"ЯЛК адрес 42: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"НОРМА";""
"Обрыв и исходное отключённое состояние 80 входов ЯЛК";"1.1.4.10";"ЯЛК адрес 43: обрыв, аналоговый вход";"43";"";"1024.000000";"0.000000";"1";"";"-0.971178";"";"";"";-6.2;0;"НОРМА";""
"Обрыв и исходное отключённое состояние 80 входов ЯЛК";"1.1.4.10";"ЯЛК адрес 43: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"НОРМА";""
"Обрыв и исходное отключённое состояние 80 входов ЯЛК";"1.1.4.10";"ЯЛК адрес 45: обрыв, аналоговый вход";"45";"";"1024.000000";"0.000000";"1";"";"-0.971178";"";"";"";-6.2;0;"НОРМА";""
"Обрыв и исходное отключённое состояние 80 входов ЯЛК";"1.1.4.10";"ЯЛК адрес 45: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"НОРМА";""
"Обрыв и исходное отключённое состояние 80 входов ЯЛК";"1.1.4.10";"ЯЛК адрес 46: обрыв, аналоговый вход";"46";"";"1024.000000";"0.000000";"1";"";"-0.971178";"";"";"";-6.2;0;"НОРМА";""
"Обрыв и исходное отключённое состояние 80 входов ЯЛК";"1.1.4.10";"ЯЛК адрес 46: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"НОРМА";""
"Обрыв и исходное отключённое состояние 80 входов ЯЛК";"1.1.4.10";"ЯЛК адрес 47: обрыв, аналоговый вход";"47";"";"1024.000000";"0.000000";"1";"";"-0.971178";"";"";"";-6.2;0;"НОРМА";""
"Обрыв и исходное отключённое состояние 80 входов ЯЛК";"1.1.4.10";"ЯЛК адрес 47: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"НОРМА";""
"Обрыв и исходное отключённое состояние 80 входов ЯЛК";"1.1.4.10";"ЯЛК адрес 48: обрыв, аналоговый вход";"48";"";"1024.000000";"0.000000";"1";"";"-0.971178";"";"";"";-6.2;0;"НОРМА";""
"Обрыв и исходное отключённое состояние 80 входов ЯЛК";"1.1.4.10";"ЯЛК адрес 48: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"НОРМА";""
"Обрыв и исходное отключённое состояние 80 входов ЯЛК";"1.1.4.10";"ЯЛК адрес 49: обрыв, аналоговый вход";"49";"";"1024.000000";"0.000000";"1";"";"-0.971178";"";"";"";-6.2;0;"НОРМА";""
"Обрыв и исходное отключённое состояние 80 входов ЯЛК";"1.1.4.10";"ЯЛК адрес 49: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"НОРМА";""
"Обрыв и исходное отключённое состояние 80 входов ЯЛК";"1.1.4.10";"ЯЛК адрес 50: обрыв, аналоговый вход";"50";"";"1024.000000";"0.000000";"1";"";"-0.971178";"";"";"";-6.2;0;"НОРМА";""
"Обрыв и исходное отключённое состояние 80 входов ЯЛК";"1.1.4.10";"ЯЛК адрес 50: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"НОРМА";""
"Обрыв и исходное отключённое состояние 80 входов ЯЛК";"1.1.4.10";"ЯЛК адрес 51: обрыв, аналоговый вход";"51";"";"1024.000000";"0.000000";"1";"";"-0.971178";"";"";"";-6.2;0;"НОРМА";""
"Обрыв и исходное отключённое состояние 80 входов ЯЛК";"1.1.4.10";"ЯЛК адрес 51: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"НОРМА";""
"Обрыв и исходное отключённое состояние 80 входов ЯЛК";"1.1.4.10";"ЯЛК адрес 52: обрыв, аналоговый вход";"52";"";"1024.000000";"0.000000";"1";"";"-0.971178";"";"";"";-6.2;0;"НОРМА";""
"Обрыв и исходное отключённое состояние 80 входов ЯЛК";"1.1.4.10";"ЯЛК адрес 52: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"НОРМА";""
"Обрыв и исходное отключённое состояние 80 входов ЯЛК";"1.1.4.10";"ЯЛК адрес 53: обрыв, аналоговый вход";"53";"";"1024.000000";"0.000000";"1";"";"-0.971178";"";"";"";-6.2;0;"НОРМА";""
"Обрыв и исходное отключённое состояние 80 входов ЯЛК";"1.1.4.10";"ЯЛК адрес 53: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"НОРМА";""
"Обрыв и исходное отключённое состояние 80 входов ЯЛК";"1.1.4.10";"ЯЛК адрес 54: обрыв, аналоговый вход";"54";"";"1024.000000";"0.000000";"1";"";"-0.971178";"";"";"";-6.2;0;"НОРМА";""
"Обрыв и исходное отключённое состояние 80 входов ЯЛК";"1.1.4.10";"ЯЛК адрес 54: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"НОРМА";""
"Обрыв и исходное отключённое состояние 80 входов ЯЛК";"1.1.4.10";"ЯЛК адрес 55: обрыв, аналоговый вход";"55";"";"1024.000000";"0.000000";"1";"";"-0.971178";"";"";"";-6.2;0;"НОРМА";""
